Quotation Expecting Day,Customer Name,Part Number,Product Name,Product Category,Quantity
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B22804,VERSACOMP ANTIBODY CAPTURE BEAD KIT,FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,2523749,FLOWCYTOMETRY TUBES (250 PER PCKTS ),FLOWCYTOMETRY,4.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B43611,AQUIOS FLOW COUNT FLUOROSPHERES (100TEST),FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,A07803,INTRAPREP PERMEABILIZATION REAGENT 150T CE,FLOWCYTOMETRY,2.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,A11895,OPTI LYSE C200TESTS CE,FLOWCYTOMETRY,2.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,8546859,ISOFLOW SHEATH FLUID( 1X 10 L ),FLOWCYTOMETRY,10.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B36291,"ANTI-HLA-DR-PACIFIC BLUE, 50 TESTS, IVD CE",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B36294,"CD45-KROME ORANGE, 100 TESTS, IVD CE",FLOWCYTOMETRY,4.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B49210,"CD2-APC, 100 TESTS, IVD CE",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,IM2471,"CD33-APC, 100T IVD CE",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B06498,"CD22-PACIFIC BLUE, 0.5ML ASR",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,A21692,CD56-PC7 100T CE,FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,A21691,CD34-PC7 100T IVD CE,FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B49191,"CD5-PC5.5, 50 TESTS, CE-IVD",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B96754,"CD117-PC5.5, 50 TESTS IVD CE",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B23132,"ANTI-MYELOPEROXYDASE-PC5.5, 0.5ML ASR",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B49182,"CD8-PACIFIC BLUE, 50 TESTS, IVD CE",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B92391,"CD14-ECD, 100T CE",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,A07770,CD19-ECD 100T IVD CE,FLOWCYTOMETRY,2.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,A07748,CD3 ECD,FLOWCYTOMETRY,2.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B96769,"CD64-APC-ALEXA FLUOR 750, 50 TESTS IVD CE",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B16892,"CD7-APC-ALEXA FLUOR 750, 0.5ML ASR",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,A54822,CD1 LB-PC7-1ML ASR,FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B49200,"CD38-APC-ALEXA FLOUR 750, 50 TESTS, IVD CE",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,A07762,CD13-RPE100T CE,FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B10824,"CD4-APC-ALEXA FLUOR 700, 0.5ML ASR",FLOWCYTOMETRY,1.0
2025-06-17,Lanka Hospitals Diagnostics (Pvt) Ltd,B25330,"CD1A-FITC, 1ML, ASR",FLOWCYTOMETRY,1.0
